Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-29,190.74,190.74,189.53,189.53,4637827.0,0.0,1.0,186.5664345660674,186.5664345660674,185.3829104713576,185.3829104713576,4637827.0
2017-12-28,190.91,190.98,189.64,189.78,3175631.0,0.0,1.0,186.73271481077862,186.80118314683625,185.49050357087663,185.62744024299184,3175631.0
2017-12-27,190.6,191.49,190.01,190.19,5912613.0,0.0,1.0,186.42949789395215,187.3000238809701,185.8524076328953,186.028469068472,5912613.0
2017-12-26,188.53,190.42,188.34,190.36,2969182.0,0.0,1.0,184.40479138482056,186.25343645837552,184.21894875837856,186.19474931318334,2969182.0
2017-12-22,188.2,188.46,187.27,188.13,3256519.0,0.0,1.0,184.08201208626338,184.336323048763,183.172361335784,184.01354375020577,3256519.0
2017-12-21,187.7,188.84,187.44,188.08,5859058.0,0.0,1.0,183.59295254299485,184.70800830164703,183.33864158049525,183.96463779587899,5859058.0
2017-12-20,187.14,187.9024,186.035,187.31,5383672.0,0.0,1.0,183.04520585453412,183.79092384611,181.96438426391083,183.21148609924546,5383672.0
2017-12-19,185.235,186.72,184.6,185.98,4496706.0,0.0,1.0,181.1818889946812,182.63439583818862,180.56078337473014,181.91058771415126,4496706.0
2017-12-18,183.96,185.47,183.5,184.73,5011827.0,0.0,1.0,179.9347871593465,181.41174698001737,179.48485237953946,180.68793885598,5011827.0
2017-12-15,183.005,183.21,182.13,182.58,8201699.0,0.0,1.0,179.00068343170364,179.20119784444375,178.14482923098382,178.58498281992541,8201699.0
2017-12-14,183.88,184.0,182.06,182.13,3542677.0,0.0,1.0,179.8565376324235,179.97391192280799,178.07636089492618,178.14482923098382,3542677.0
2017-12-13,182.01,183.67,182.0,183.03,5176749.0,0.0,1.0,178.02745494059934,179.65113262425075,178.01767374973397,179.0251364088671,5176749.0
2017-12-12,182.75,183.21,181.66,181.8,5274935.0,0.0,1.0,178.75126306463673,179.20119784444375,177.6851132603114,177.8220499324266,5274935.0
